HORODATE;SOUS_PROFIL;CATEGORIE;COEFFICIENT_PREPARE;COEFFICIENT_AJUSTE;COEFFICIENT_DYNAMIQUE;INDIC_DISPERS_POIDS_DYN;INDIC_PRECISION_DYN
2024-07-26T06:00:00+02:00;RES1_BASE;Residentiel;0.58;0.58;0.543431512;100;100
2024-07-26T08:30:00+02:00;RES1_BASE;Residentiel;0.8803;0.8803;0.76131236;100;100
2024-07-26T16:00:00+02:00;RES1_BASE;Residentiel;0.8794;0.8794;0.86614139;100;100
2024-07-26T21:00:00+02:00;RES1_BASE;Residentiel;1.1411;1.1411;0.990055319;100;100
2024-07-26T21:30:00+02:00;RES1_BASE;Residentiel;1.1128;1.1128;0.96530063;100;100
2024-07-27T13:00:00+02:00;RES1_BASE;Residentiel;1.133;1.133;1.042811409;100;100
2024-07-27T13:30:00+02:00;RES1_BASE;Residentiel;1.0889;1.0889;1.004567595;100;100
2024-07-28T00:00:00+02:00;RES1_BASE;Residentiel;0.7332;0.7332;0.683854509;100;100
2024-07-28T09:00:00+02:00;RES1_BASE;Residentiel;0.9093;0.9093;0.819389312;100;100
2024-07-28T12:00:00+02:00;RES1_BASE;Residentiel;1.2092;1.2092;1.107425085;100;100
2024-07-28T23:00:00+02:00;RES1_BASE;Residentiel;0.8648;0.8648;0.826739042;100;100
2024-07-28T23:30:00+02:00;RES1_BASE;Residentiel;0.7706;0.7706;0.748856922;100;100
2024-07-29T01:00:00+02:00;RES1_BASE;Residentiel;0.594;0.594;0.601217541;100;100
2024-07-29T04:30:00+02:00;RES1_BASE;Residentiel;0.5117;0.5117;0.503642083;100;100
2024-07-29T08:00:00+02:00;RES1_BASE;Residentiel;0.8434;0.8434;0.735133527;100;100
2024-07-29T12:30:00+02:00;RES1_BASE;Residentiel;1.1075;1.1075;1.008617026;100;100
2024-07-29T13:00:00+02:00;RES1_BASE;Residentiel;1.0668;1.0668;0.981697004;100;100
2024-07-29T17:00:00+02:00;RES1_BASE;Residentiel;0.8849;0.8849;0.890466276;100;100
2024-07-29T18:00:00+02:00;RES1_BASE;Residentiel;0.9966;0.9966;0.957766056;100;100
2024-07-29T20:30:00+02:00;RES1_BASE;Residentiel;1.188;1.188;1.131462588;100;100
2024-07-29T21:00:00+02:00;RES1_BASE;Residentiel;1.1551;1.1551;1.091371871;100;100
2024-07-30T09:00:00+02:00;RES1_BASE;Residentiel;0.8985;0.8985;0.792460662;100;100
2024-07-30T12:00:00+02:00;RES1_BASE;Residentiel;1.1242;1.1242;1.006668797;100;100
2024-07-30T12:30:00+02:00;RES1_BASE;Residentiel;1.0624;1.0624;1.008976246;100;100
2024-07-30T15:30:00+02:00;RES1_BASE;Residentiel;0.8813;0.8813;0.913676362;100;100
2024-07-30T17:00:00+02:00;RES1_BASE;Residentiel;0.8693;0.8693;0.945092306;100;100
2024-07-30T23:00:00+02:00;RES1_BASE;Residentiel;0.8787;0.8787;0.889868693;100;100
2024-07-31T05:30:00+02:00;RES1_BASE;Residentiel;0.5374;0.5374;0.570656783;100;100
2024-07-31T10:30:00+02:00;RES1_BASE;Residentiel;0.9699;0.9699;0.89452955;100;100
2024-07-31T17:00:00+02:00;RES1_BASE;Residentiel;0.8814;0.8814;0.961981668;100;100
2024-07-31T18:00:00+02:00;RES1_BASE;Residentiel;0.9656;0.9656;1.034414867;100;100
2024-07-31T19:00:00+02:00;RES1_BASE;Residentiel;1.141;1.141;1.158983984;100;100
2024-07-31T22:30:00+02:00;RES1_BASE;Residentiel;0.9802;0.9802;0.981450938;100;100
2024-07-12T07:00:00+02:00;RES1_BASE;Residentiel;0.776;0.776;0.632682214;100;100
2024-07-12T12:30:00+02:00;RES1_BASE;Residentiel;1.0966;1.0966;0.982833451;100;100
2024-07-12T19:00:00+02:00;RES1_BASE;Residentiel;1.1251;1.1251;1.016533407;100;100
2024-07-12T19:30:00+02:00;RES1_BASE;Residentiel;1.158;1.158;1.042810164;100;100
2024-07-12T22:00:00+02:00;RES1_BASE;Residentiel;1.0793;1.0793;0.885165765;100;100
2024-07-13T02:00:00+02:00;RES1_BASE;Residentiel;0.5492;0.5492;0.52481307;100;100
2024-07-13T03:00:00+02:00;RES1_BASE;Residentiel;0.5345;0.5345;0.493938003;100;100
2024-07-13T04:00:00+02:00;RES1_BASE;Residentiel;0.5041;0.5041;0.476898547;100;100
